name,label,width,height
C101P62ThinF_IMG_20150918_151006_cell_64,Parasitized,103,121
C101P62ThinF_IMG_20150918_151006_cell_65,Parasitized,136,124
C101P62ThinF_IMG_20150918_151006_cell_66,Parasitized,151,148
C101P62ThinF_IMG_20150918_151006_cell_67,Parasitized,115,148
C101P62ThinF_IMG_20150918_151006_cell_68,Parasitized,136,172
C101P62ThinF_IMG_20150918_151006_cell_69,Parasitized,178,118
C101P62ThinF_IMG_20150918_151006_cell_70,Parasitized,112,157
C101P62ThinF_IMG_20150918_151006_cell_71,Parasitized,139,133
C101P62ThinF_IMG_20150918_151006_cell_72,Parasitized,193,196
C101P62ThinF_IMG_20150918_151006_cell_73,Parasitized,133,154
C101P62ThinF_IMG_20150918_151006_cell_74,Parasitized,148,142
C101P62ThinF_IMG_20150918_151006_cell_75,Parasitized,169,148
C101P62ThinF_IMG_20150918_151006_cell_76,Parasitized,199,175
C101P62ThinF_IMG_20150918_151006_cell_77,Parasitized,187,217
C101P62ThinF_IMG_20150918_151006_cell_78,Parasitized,154,190
C101P62ThinF_IMG_20150918_151006_cell_79,Parasitized,160,154
C101P62ThinF_IMG_20150918_151006_cell_80,Parasitized,130,142
C101P62ThinF_IMG_20150918_151006_cell_81,Parasitized,127,145
C101P62ThinF_IMG_20150918_151006_cell_82,Parasitized,133,157
C101P62ThinF_IMG_20150918_151006_cell_83,Parasitized,166,136
C101P62ThinF_IMG_20150918_151006_cell_84,Parasitized,133,130
C101P62ThinF_IMG_20150918_151006_cell_85,Parasitized,151,127
C101P62ThinF_IMG_20150918_151006_cell_86,Parasitized,133,184
C101P62ThinF_IMG_20150918_151149_cell_68,Parasitized,115,166
C101P62ThinF_IMG_20150918_151149_cell_69,Parasitized,142,145
C101P62ThinF_IMG_20150918_151149_cell_70,Parasitized,160,139
C101P62ThinF_IMG_20150918_151149_cell_71,Parasitized,118,109
C101P62ThinF_IMG_20150918_151149_cell_72,Parasitized,133,118
C101P62ThinF_IMG_20150918_151149_cell_73,Parasitized,151,145
C101P62ThinF_IMG_20150918_151149_cell_74,Parasitized,133,157
C101P62ThinF_IMG_20150918_151149_cell_75,Parasitized,142,124
C101P62ThinF_IMG_20150918_151149_cell_76,Parasitized,166,148
C101P62ThinF_IMG_20150918_151149_cell_77,Parasitized,130,136
C101P62ThinF_IMG_20150918_151149_cell_78,Parasitized,169,148
C101P62ThinF_IMG_20150918_151149_cell_79,Parasitized,148,115
C101P62ThinF_IMG_20150918_151149_cell_80,Parasitized,145,145
C101P62ThinF_IMG_20150918_151149_cell_81,Parasitized,145,148
C101P62ThinF_IMG_20150918_151149_cell_82,Parasitized,145,142
C101P62ThinF_IMG_20150918_151149_cell_83,Parasitized,136,127
C101P62ThinF_IMG_20150918_151149_cell_84,Parasitized,136,178
C101P62ThinF_IMG_20150918_151149_cell_85,Parasitized,181,160
C101P62ThinF_IMG_20150918_151149_cell_86,Parasitized,151,136
C101P62ThinF_IMG_20150918_151149_cell_87,Parasitized,142,106
C101P62ThinF_IMG_20150918_151149_cell_88,Parasitized,136,139
C101P62ThinF_IMG_20150918_151239_cell_100,Parasitized,136,130
C101P62ThinF_IMG_20150918_151239_cell_74,Parasitized,121,145
C101P62ThinF_IMG_20150918_151239_cell_75,Parasitized,154,139
C101P62ThinF_IMG_20150918_151239_cell_76,Parasitized,169,124
C101P62ThinF_IMG_20150918_151239_cell_77,Parasitized,133,130
C101P62ThinF_IMG_20150918_151239_cell_78,Parasitized,127,133
C101P62ThinF_IMG_20150918_151239_cell_79,Parasitized,133,130
C101P62ThinF_IMG_20150918_151239_cell_80,Parasitized,139,142
C101P62ThinF_IMG_20150918_151239_cell_81,Parasitized,136,103
C101P62ThinF_IMG_20150918_151239_cell_82,Parasitized,142,163
C101P62ThinF_IMG_20150918_151239_cell_83,Parasitized,148,139
C101P62ThinF_IMG_20150918_151239_cell_84,Parasitized,100,127
C101P62ThinF_IMG_20150918_151239_cell_85,Parasitized,136,136
C101P62ThinF_IMG_20150918_151239_cell_86,Parasitized,163,157
C101P62ThinF_IMG_20150918_151239_cell_87,Parasitized,133,136
C101P62ThinF_IMG_20150918_151239_cell_88,Parasitized,154,148
C101P62ThinF_IMG_20150918_151239_cell_89,Parasitized,169,154
C101P62ThinF_IMG_20150918_151239_cell_90,Parasitized,148,190
C101P62ThinF_IMG_20150918_151239_cell_91,Parasitized,139,136
C101P62ThinF_IMG_20150918_151239_cell_92,Parasitized,145,166
C101P62ThinF_IMG_20150918_151239_cell_93,Parasitized,133,136
C101P62ThinF_IMG_20150918_151239_cell_94,Parasitized,157,136
C101P62ThinF_IMG_20150918_151239_cell_95,Parasitized,151,145
C101P62ThinF_IMG_20150918_151239_cell_96,Parasitized,145,148
C101P62ThinF_IMG_20150918_151239_cell_97,Parasitized,136,127
C101P62ThinF_IMG_20150918_151239_cell_98,Parasitized,127,148
C101P62ThinF_IMG_20150918_151239_cell_99,Parasitized,124,145
C101P62ThinF_IMG_20150918_151335_cell_51,Parasitized,154,151
C101P62ThinF_IMG_20150918_151335_cell_52,Parasitized,136,148
C101P62ThinF_IMG_20150918_151335_cell_53,Parasitized,133,127
C101P62ThinF_IMG_20150918_151335_cell_54,Parasitized,121,118
C101P62ThinF_IMG_20150918_151335_cell_55,Parasitized,139,133
C101P62ThinF_IMG_20150918_151335_cell_56,Parasitized,130,130
C101P62ThinF_IMG_20150918_151335_cell_57,Parasitized,136,145
C101P62ThinF_IMG_20150918_151335_cell_58,Parasitized,154,154
C101P62ThinF_IMG_20150918_151335_cell_59,Parasitized,136,130
C101P62ThinF_IMG_20150918_151335_cell_60,Parasitized,136,148
C101P62ThinF_IMG_20150918_151335_cell_61,Parasitized,130,124
C101P62ThinF_IMG_20150918_151335_cell_62,Parasitized,160,145
C101P62ThinF_IMG_20150918_151335_cell_63,Parasitized,145,154
C101P62ThinF_IMG_20150918_151335_cell_64,Parasitized,136,130
C101P62ThinF_IMG_20150918_151335_cell_65,Parasitized,172,163
C101P62ThinF_IMG_20150918_151335_cell_66,Parasitized,148,151
C101P62ThinF_IMG_20150918_151335_cell_67,Parasitized,127,139
C101P62ThinF_IMG_20150918_151335_cell_68,Parasitized,130,145
C101P62ThinF_IMG_20150918_151335_cell_69,Parasitized,133,166
C101P62ThinF_IMG_20150918_151335_cell_70,Parasitized,145,142
C101P62ThinF_IMG_20150918_151335_cell_71,Parasitized,163,160
C101P62ThinF_IMG_20150918_151335_cell_72,Parasitized,154,139
C101P62ThinF_IMG_20150918_151335_cell_73,Parasitized,151,133
C101P62ThinF_IMG_20150918_151335_cell_74,Parasitized,163,211
C101P62ThinF_IMG_20150918_151335_cell_75,Parasitized,133,142
C101P62ThinF_IMG_20150918_151335_cell_76,Parasitized,115,121
C101P62ThinF_IMG_20150918_151335_cell_77,Parasitized,142,148
C101P62ThinF_IMG_20150918_151335_cell_78,Parasitized,154,151
C101P62ThinF_IMG_20150918_151507_cell_49,Parasitized,142,130
C101P62ThinF_IMG_20150918_151507_cell_50,Parasitized,136,154
C101P62ThinF_IMG_20150918_151507_cell_51,Parasitized,127,145
C101P62ThinF_IMG_20150918_151507_cell_52,Parasitized,145,169
C101P62ThinF_IMG_20150918_151507_cell_53,Parasitized,121,127
C101P62ThinF_IMG_20150918_151507_cell_54,Parasitized,118,145
C101P62ThinF_IMG_20150918_151507_cell_55,Parasitized,133,148
C101P62ThinF_IMG_20150918_151507_cell_56,Parasitized,136,139
C101P62ThinF_IMG_20150918_151507_cell_57,Parasitized,142,136
C101P62ThinF_IMG_20150918_151507_cell_58,Parasitized,142,145
C101P62ThinF_IMG_20150918_151507_cell_59,Parasitized,136,124
C101P62ThinF_IMG_20150918_151507_cell_60,Parasitized,133,121
C101P62ThinF_IMG_20150918_151507_cell_61,Parasitized,175,124
C101P62ThinF_IMG_20150918_151507_cell_62,Parasitized,124,124
C101P62ThinF_IMG_20150918_151507_cell_63,Parasitized,142,130
C101P62ThinF_IMG_20150918_151507_cell_64,Parasitized,109,127
C101P62ThinF_IMG_20150918_151507_cell_65,Parasitized,142,142
C101P62ThinF_IMG_20150918_151507_cell_66,Parasitized,166,154
C101P62ThinF_IMG_20150918_151507_cell_67,Parasitized,160,142
C101P62ThinF_IMG_20150918_151507_cell_68,Parasitized,133,100
C101P62ThinF_IMG_20150918_151507_cell_69,Parasitized,181,166
C101P62ThinF_IMG_20150918_151507_cell_70,Parasitized,154,148
C101P62ThinF_IMG_20150918_151507_cell_71,Parasitized,142,139
C101P62ThinF_IMG_20150918_151507_cell_72,Parasitized,148,148
C101P62ThinF_IMG_20150918_151507_cell_73,Parasitized,169,133
C101P62ThinF_IMG_20150918_151507_cell_74,Parasitized,148,97
C101P62ThinF_IMG_20150918_151507_cell_75,Parasitized,145,154
C101P62ThinF_IMG_20150918_151507_cell_76,Parasitized,157,163
C101P62ThinF_IMG_20150918_151507_cell_77,Parasitized,178,151
C101P62ThinF_IMG_20150918_151942_cell_58,Parasitized,121,151
C101P62ThinF_IMG_20150918_151942_cell_59,Parasitized,151,163
C101P62ThinF_IMG_20150918_151942_cell_60,Parasitized,124,130
C101P62ThinF_IMG_20150918_151942_cell_61,Parasitized,121,127
C101P62ThinF_IMG_20150918_151942_cell_62,Parasitized,124,148
C101P62ThinF_IMG_20150918_151942_cell_63,Parasitized,127,151
C101P62ThinF_IMG_20150918_151942_cell_64,Parasitized,142,133
C101P62ThinF_IMG_20150918_151942_cell_65,Parasitized,142,130
C101P62ThinF_IMG_20150918_151942_cell_66,Parasitized,139,109
C101P62ThinF_IMG_20150918_151942_cell_67,Parasitized,136,148
C101P62ThinF_IMG_20150918_151942_cell_68,Parasitized,148,157
C101P62ThinF_IMG_20150918_151942_cell_69,Parasitized,136,142
C101P62ThinF_IMG_20150918_151942_cell_70,Parasitized,148,151
C101P62ThinF_IMG_20150918_151942_cell_71,Parasitized,139,127
C101P62ThinF_IMG_20150918_151942_cell_72,Parasitized,148,160
C101P62ThinF_IMG_20150918_151942_cell_73,Parasitized,124,151
C101P62ThinF_IMG_20150918_151942_cell_74,Parasitized,139,148
C101P62ThinF_IMG_20150918_151942_cell_75,Parasitized,148,148
C101P62ThinF_IMG_20150918_151942_cell_76,Parasitized,127,205
C101P62ThinF_IMG_20150918_151942_cell_77,Parasitized,199,172
C101P62ThinF_IMG_20150918_151942_cell_78,Parasitized,154,127
C101P62ThinF_IMG_20150918_151942_cell_79,Parasitized,106,184
C101P62ThinF_IMG_20150918_151942_cell_80,Parasitized,148,184
C101P62ThinF_IMG_20150918_151942_cell_81,Parasitized,148,148
C101P62ThinF_IMG_20150918_151942_cell_82,Parasitized,136,139
C101P62ThinF_IMG_20150918_151942_cell_83,Parasitized,139,121
C101P62ThinF_IMG_20150918_151942_cell_84,Parasitized,133,139
C101P62ThinF_IMG_20150918_151942_cell_85,Parasitized,151,175
C101P62ThinF_IMG_20150918_151942_cell_86,Parasitized,163,154
C101P62ThinF_IMG_20150918_151942_cell_87,Parasitized,193,154
C101P62ThinF_IMG_20150918_151942_cell_88,Parasitized,142,133
C101P62ThinF_IMG_20150918_151942_cell_89,Parasitized,169,127
C101P62ThinF_IMG_20150918_151942_cell_90,Parasitized,130,142
C101P62ThinF_IMG_20150918_155026_cell_1,Parasitized,94,112
C101P62ThinF_IMG_20150918_155731_cell_61,Parasitized,100,136
C101P62ThinF_IMG_20150918_155731_cell_62,Parasitized,145,157
C101P62ThinF_IMG_20150918_155731_cell_63,Parasitized,139,166
C101P62ThinF_IMG_20150918_155731_cell_64,Parasitized,154,148
C101P62ThinF_IMG_20150918_155731_cell_65,Parasitized,148,142
C101P62ThinF_IMG_20150918_155731_cell_66,Parasitized,145,145
C101P62ThinF_IMG_20150918_155731_cell_67,Parasitized,157,142
C101P62ThinF_IMG_20150918_155731_cell_68,Parasitized,145,157
C101P62ThinF_IMG_20150918_155731_cell_69,Parasitized,133,145
C101P62ThinF_IMG_20150918_155731_cell_70,Parasitized,136,148
C101P62ThinF_IMG_20150918_155731_cell_71,Parasitized,160,133
C101P62ThinF_IMG_20150918_155731_cell_72,Parasitized,154,148
C101P62ThinF_IMG_20150918_155731_cell_73,Parasitized,112,115
C101P62ThinF_IMG_20150918_155731_cell_74,Parasitized,166,124
C101P62ThinF_IMG_20150918_155731_cell_75,Parasitized,148,142
C101P62ThinF_IMG_20150918_155731_cell_76,Parasitized,106,145
C101P62ThinF_IMG_20150918_155731_cell_77,Parasitized,148,148
C101P62ThinF_IMG_20150918_155731_cell_78,Parasitized,139,145
C101P62ThinF_IMG_20150918_155731_cell_79,Parasitized,160,151
C101P62ThinF_IMG_20150918_155731_cell_80,Parasitized,148,157
C101P62ThinF_IMG_20150918_155731_cell_81,Parasitized,142,133
C101P62ThinF_IMG_20150918_155731_cell_82,Parasitized,133,136
C101P62ThinF_IMG_20150918_155731_cell_83,Parasitized,145,166
C101P62ThinF_IMG_20150918_155731_cell_84,Parasitized,142,139
C101P62ThinF_IMG_20150918_155731_cell_85,Parasitized,115,100
C101P62ThinF_IMG_20150923_165215_cell_1,Parasitized,121,100
C101P62ThinF_IMG_20150923_165215_cell_10,Parasitized,130,100
C101P62ThinF_IMG_20150923_165215_cell_11,Parasitized,124,145
C101P62ThinF_IMG_20150923_165215_cell_12,Parasitized,124,139
C101P62ThinF_IMG_20150923_165215_cell_13,Parasitized,148,175
C101P62ThinF_IMG_20150923_165215_cell_14,Parasitized,148,184
C101P62ThinF_IMG_20150923_165215_cell_15,Parasitized,121,154
C101P62ThinF_IMG_20150923_165215_cell_16,Parasitized,133,139
C101P62ThinF_IMG_20150923_165215_cell_17,Parasitized,124,130
C101P62ThinF_IMG_20150923_165215_cell_18,Parasitized,160,154
C101P62ThinF_IMG_20150923_165215_cell_19,Parasitized,157,157
C101P62ThinF_IMG_20150923_165215_cell_2,Parasitized,142,151
C101P62ThinF_IMG_20150923_165215_cell_20,Parasitized,178,217
C101P62ThinF_IMG_20150923_165215_cell_21,Parasitized,130,139
C101P62ThinF_IMG_20150923_165215_cell_22,Parasitized,127,139
C101P62ThinF_IMG_20150923_165215_cell_23,Parasitized,133,136
C101P62ThinF_IMG_20150923_165215_cell_24,Parasitized,133,154
C101P62ThinF_IMG_20150923_165215_cell_25,Parasitized,124,118
C101P62ThinF_IMG_20150923_165215_cell_26,Parasitized,181,169
C101P62ThinF_IMG_20150923_165215_cell_27,Parasitized,136,148
C101P62ThinF_IMG_20150923_165215_cell_28,Parasitized,139,139
C101P62ThinF_IMG_20150923_165215_cell_29,Parasitized,145,142
C101P62ThinF_IMG_20150923_165215_cell_3,Parasitized,154,172
C101P62ThinF_IMG_20150923_165215_cell_30,Parasitized,148,139
C101P62ThinF_IMG_20150923_165215_cell_31,Parasitized,160,163
C101P62ThinF_IMG_20150923_165215_cell_32,Parasitized,166,136
C101P62ThinF_IMG_20150923_165215_cell_33,Parasitized,187,220
C101P62ThinF_IMG_20150923_165215_cell_34,Parasitized,160,142
C101P62ThinF_IMG_20150923_165215_cell_35,Parasitized,193,151
C101P62ThinF_IMG_20150923_165215_cell_36,Parasitized,157,133
C101P62ThinF_IMG_20150923_165215_cell_37,Parasitized,145,133
C101P62ThinF_IMG_20150923_165215_cell_38,Parasitized,145,148
C101P62ThinF_IMG_20150923_165215_cell_39,Parasitized,136,121
C101P62ThinF_IMG_20150923_165215_cell_4,Parasitized,160,136
C101P62ThinF_IMG_20150923_165215_cell_40,Parasitized,136,154
C101P62ThinF_IMG_20150923_165215_cell_41,Parasitized,130,118
C101P62ThinF_IMG_20150923_165215_cell_5,Parasitized,151,157
C101P62ThinF_IMG_20150923_165215_cell_6,Parasitized,130,136
C101P62ThinF_IMG_20150923_165215_cell_7,Parasitized,184,205
C101P62ThinF_IMG_20150923_165215_cell_8,Parasitized,139,157
C101P62ThinF_IMG_20150923_165215_cell_9,Parasitized,130,133
C101P62ThinF_IMG_20150923_170110_cell_1,Parasitized,142,124
C101P62ThinF_IMG_20150923_170110_cell_10,Parasitized,142,133
C101P62ThinF_IMG_20150923_170110_cell_11,Parasitized,133,136
C101P62ThinF_IMG_20150923_170110_cell_12,Parasitized,136,139
C101P62ThinF_IMG_20150923_170110_cell_13,Parasitized,130,151
C101P62ThinF_IMG_20150923_170110_cell_14,Parasitized,181,157
C101P62ThinF_IMG_20150923_170110_cell_15,Parasitized,145,157
C101P62ThinF_IMG_20150923_170110_cell_16,Parasitized,112,163
C101P62ThinF_IMG_20150923_170110_cell_17,Parasitized,184,217
C101P62ThinF_IMG_20150923_170110_cell_18,Parasitized,142,136
C101P62ThinF_IMG_20150923_170110_cell_19,Parasitized,154,169
C101P62ThinF_IMG_20150923_170110_cell_2,Parasitized,187,121
C101P62ThinF_IMG_20150923_170110_cell_20,Parasitized,181,145
C101P62ThinF_IMG_20150923_170110_cell_21,Parasitized,148,142
C101P62ThinF_IMG_20150923_170110_cell_22,Parasitized,163,115
C101P62ThinF_IMG_20150923_170110_cell_23,Parasitized,160,136
C101P62ThinF_IMG_20150923_170110_cell_24,Parasitized,193,220
C101P62ThinF_IMG_20150923_170110_cell_3,Parasitized,124,115
C101P62ThinF_IMG_20150923_170110_cell_4,Parasitized,124,136
C101P62ThinF_IMG_20150923_170110_cell_5,Parasitized,202,148
C101P62ThinF_IMG_20150923_170110_cell_6,Parasitized,154,136
C101P62ThinF_IMG_20150923_170110_cell_7,Parasitized,118,133
C101P62ThinF_IMG_20150923_170110_cell_8,Parasitized,148,196
C101P62ThinF_IMG_20150923_170110_cell_9,Parasitized,109,133
C101P62ThinF_IMG_20150923_170246_cell_62,Parasitized,142,151
C101P62ThinF_IMG_20150923_170246_cell_63,Parasitized,130,172
C101P62ThinF_IMG_20150923_170246_cell_64,Parasitized,121,103
C101P62ThinF_IMG_20150923_170246_cell_65,Parasitized,142,124
C101P62ThinF_IMG_20150923_170246_cell_66,Parasitized,172,172
C101P62ThinF_IMG_20150923_170246_cell_67,Parasitized,148,196
C101P62ThinF_IMG_20150923_170246_cell_68,Parasitized,142,142
C101P62ThinF_IMG_20150923_170246_cell_69,Parasitized,145,148
C101P62ThinF_IMG_20150923_170246_cell_70,Parasitized,139,139
C101P62ThinF_IMG_20150923_170246_cell_71,Parasitized,124,103
C101P62ThinF_IMG_20150923_170246_cell_72,Parasitized,139,145
C101P62ThinF_IMG_20150923_170246_cell_73,Parasitized,148,160
C101P62ThinF_IMG_20150923_170246_cell_74,Parasitized,136,178
C101P62ThinF_IMG_20150923_170246_cell_75,Parasitized,133,127
C101P62ThinF_IMG_20150923_170246_cell_76,Parasitized,151,148
C101P62ThinF_IMG_20150923_170246_cell_77,Parasitized,133,133
C101P62ThinF_IMG_20150923_170246_cell_78,Parasitized,127,136
C101P62ThinF_IMG_20150923_170246_cell_79,Parasitized,169,166
C101P62ThinF_IMG_20150923_170246_cell_80,Parasitized,154,160
C101P62ThinF_IMG_20150923_170246_cell_81,Parasitized,133,148
C101P62ThinF_IMG_20150923_170246_cell_82,Parasitized,166,184
C101P62ThinF_IMG_20150923_170246_cell_83,Parasitized,178,151
C101P62ThinF_IMG_20150923_170246_cell_84,Parasitized,97,190
C101P62ThinF_IMG_20150923_170246_cell_85,Parasitized,184,181
C101P62ThinF_IMG_20150923_170246_cell_86,Parasitized,148,145
C101P62ThinF_IMG_20150923_170246_cell_87,Parasitized,130,112
C101P62ThinF_IMG_20150923_170246_cell_88,Parasitized,130,124
C101P62ThinF_IMG_20150923_170246_cell_89,Parasitized,175,127
C101P62ThinF_IMG_20150923_170246_cell_90,Parasitized,145,133
C101P62ThinF_IMG_20150923_170344_cell_100,Parasitized,148,118
C101P62ThinF_IMG_20150923_170344_cell_71,Parasitized,166,160
C101P62ThinF_IMG_20150923_170344_cell_72,Parasitized,190,184
C101P62ThinF_IMG_20150923_170344_cell_73,Parasitized,196,148
C101P62ThinF_IMG_20150923_170344_cell_74,Parasitized,139,130
C101P62ThinF_IMG_20150923_170344_cell_75,Parasitized,157,145
C101P62ThinF_IMG_20150923_170344_cell_76,Parasitized,136,124
C101P62ThinF_IMG_20150923_170344_cell_77,Parasitized,139,139
C101P62ThinF_IMG_20150923_170344_cell_78,Parasitized,145,136
C101P62ThinF_IMG_20150923_170344_cell_79,Parasitized,154,157
C101P62ThinF_IMG_20150923_170344_cell_80,Parasitized,136,157
C101P62ThinF_IMG_20150923_170344_cell_81,Parasitized,139,130
C101P62ThinF_IMG_20150923_170344_cell_82,Parasitized,133,145
C101P62ThinF_IMG_20150923_170344_cell_83,Parasitized,193,148
C101P62ThinF_IMG_20150923_170344_cell_84,Parasitized,136,142
C101P62ThinF_IMG_20150923_170344_cell_85,Parasitized,139,136
C101P62ThinF_IMG_20150923_170344_cell_86,Parasitized,121,106
C101P62ThinF_IMG_20150923_170344_cell_87,Parasitized,136,142
C101P62ThinF_IMG_20150923_170344_cell_88,Parasitized,133,145
C101P62ThinF_IMG_20150923_170344_cell_89,Parasitized,154,163
C101P62ThinF_IMG_20150923_170344_cell_90,Parasitized,145,139
C101P62ThinF_IMG_20150923_170344_cell_91,Parasitized,148,172
C101P62ThinF_IMG_20150923_170344_cell_92,Parasitized,118,130
C101P62ThinF_IMG_20150923_170344_cell_93,Parasitized,166,175
C101P62ThinF_IMG_20150923_170344_cell_94,Parasitized,139,181
C101P62ThinF_IMG_20150923_170344_cell_95,Parasitized,154,151
C101P62ThinF_IMG_20150923_170344_cell_96,Parasitized,127,124
C101P62ThinF_IMG_20150923_170344_cell_97,Parasitized,157,166
C101P62ThinF_IMG_20150923_170344_cell_98,Parasitized,136,130
C101P62ThinF_IMG_20150923_170344_cell_99,Parasitized,139,154
C102P63ThinF_IMG_20150918_161508_cell_190,Parasitized,172,163
C102P63ThinF_IMG_20150918_161508_cell_191,Parasitized,148,142
C102P63ThinF_IMG_20150918_161508_cell_192,Parasitized,142,139
C102P63ThinF_IMG_20150918_161508_cell_193,Parasitized,145,172
C102P63ThinF_IMG_20150918_161508_cell_194,Parasitized,136,139
C102P63ThinF_IMG_20150918_161508_cell_195,Parasitized,121,118
C102P63ThinF_IMG_20150918_161826_cell_170,Parasitized,124,124
C102P63ThinF_IMG_20150918_161826_cell_171,Parasitized,142,154
C102P63ThinF_IMG_20150918_161826_cell_172,Parasitized,133,142
C102P63ThinF_IMG_20150918_162051_cell_141,Parasitized,124,139
C102P63ThinF_IMG_20150918_162051_cell_142,Parasitized,148,136
C102P63ThinF_IMG_20150918_162051_cell_143,Parasitized,151,151
C102P63ThinF_IMG_20150918_162051_cell_144,Parasitized,157,151
C102P63ThinF_IMG_20150918_162051_cell_145,Parasitized,139,172
C102P63ThinF_IMG_20150918_162051_cell_146,Parasitized,154,160
C102P63ThinF_IMG_20150918_162051_cell_147,Parasitized,142,136
C102P63ThinF_IMG_20150918_162155_cell_132,Parasitized,148,136
C102P63ThinF_IMG_20150918_162155_cell_133,Parasitized,115,148
C102P63ThinF_IMG_20150918_162300_cell_180,Parasitized,136,172
C102P63ThinF_IMG_20150918_162300_cell_181,Parasitized,151,148
C102P63ThinF_IMG_20150918_162300_cell_182,Parasitized,115,103
C102P63ThinF_IMG_20150918_162511_cell_169,Parasitized,124,133
C102P63ThinF_IMG_20150918_162511_cell_170,Parasitized,136,133
C102P63ThinF_IMG_20150918_162511_cell_171,Parasitized,151,124
C102P63ThinF_IMG_20150918_162511_cell_172,Parasitized,124,154
C102P63ThinF_IMG_20150918_162511_cell_173,Parasitized,139,163
C102P63ThinF_IMG_20150918_162927_cell_1,Parasitized,160,109
C102P63ThinF_IMG_20150918_162927_cell_2,Parasitized,124,160
